"strComplexName","strComplexNo","memNotes"
"132 Rosmead","1",
"132 Rosmead","2 & 3",
"132 Rosmead","4 & 5",
"132 Rosmead","6",
"132 Rosmead","7",
"Annais Court","1","Test Note2015/10/05 07:47:52 AM
"
"Annais Court","10 & 34",
"Annais Court","11 & 25",
"Annais Court","12 & 30",
"Annais Court","13",
"Annais Court","14 & 26",
"Annais Court","15 & 31",
"Annais Court","16",
"Annais Court","17",
"Annais Court","18",
"Annais Court","19 & 35",
"Annais Court","2 & 32",
"Annais Court","20 & 28",
"Annais Court","21",
"Annais Court","22",
"Annais Court","23",
"Annais Court","24",
"Annais Court","3",
"Annais Court","33",
"Annais Court","4 & 27",
"Annais Court","5",
"Annais Court","6",
"Annais Court","7 & 29",
"Annais Court","8",
"Annais Court","9",
"Anneslie","1",
"Anneslie","10 & 31",
"Anneslie","11 & 30",
"Anneslie","12 & 34",
"Anneslie","13 & 24",
"Anneslie","14",
"Anneslie","15 & 19 & 35 & 36 & 37 & 38",
"Anneslie","16",
"Anneslie","17 & 23",
"Anneslie","18 & 33",
"Anneslie","2",
"Anneslie","20 & 21 & 22",
"Anneslie","25 & 43",
"Anneslie","28 & 46",
"Anneslie","3",
"Anneslie","32 & 40",
"Anneslie","4 & 29",
"Anneslie","41",
"Anneslie","42",
"Anneslie","44",
"Anneslie","45",
"Anneslie","47",
"Anneslie","48",
"Anneslie","49",
"Anneslie","5 & 39",
"Anneslie","50",
"Anneslie","51",
"Anneslie","52",
"Anneslie","6 & 26",
"Anneslie","7",
"Anneslie","8",
"Anneslie","9 & 27",
"Arena Court Flats","1",
"Arena Court Flats","10",
"Arena Court Flats","11",
"Arena Court Flats","12",
"Arena Court Flats","2",
"Arena Court Flats","3",
"Arena Court Flats","4",
"Arena Court Flats","5",
"Arena Court Flats","6",
"Arena Court Flats","7",
"Arena Court Flats","8",
"Arena Court Flats","9",
"Ascot Park","1",
"Ascot Park","10",
"Ascot Park","11",
"Ascot Park","2",
"Ascot Park","3",
"Ascot Park","4",
"Ascot Park","5",
"Ascot Park","6",
"Ascot Park","7",
"Ascot Park","8",
"Ascot Park","9",
"Ascot Towers","1 & 33",
"Ascot Towers","10",
"Ascot Towers","12",
"Ascot Towers","13",
"Ascot Towers","14",
"Ascot Towers","15 & 31",
"Ascot Towers","16",
"Ascot Towers","17",
"Ascot Towers","18",
"Ascot Towers","2 & 27",
"Ascot Towers","20",
"Ascot Towers","21",
"Ascot Towers","22",
"Ascot Towers","24",
"Ascot Towers","26",
"Ascot Towers","28",
"Ascot Towers","29",
"Ascot Towers","3 & 19",
"Ascot Towers","30",
"Ascot Towers","4 & 23",
"Ascot Towers","5 & 25",
"Ascot Towers","6 & 11",
"Ascot Towers","7 & 32",
"Ascot Towers","8",
"Ascot Towers","9",
"Ashbourne","1 & 2 & 15 & 25 & 30 & 31",
"Ashbourne","10 & 21",
"Ashbourne","12",
"Ashbourne","13",
"Ashbourne","14",
"Ashbourne","16",
"Ashbourne","17",
"Ashbourne","26 & 27 & 28",
"Ashbourne","3 & 20",
"Ashbourne","4 & 23 & 34",
"Ashbourne","5 & 22 & 36",
"Ashbourne","6 & 24 & 29",
"Ashbourne","7 & 18 & 35",
"Ashbourne","8 & 11 & 32",
"Ashbourne","9 & 19 & 33",
"Balgay Court","1",
"Balgay Court","10",
"Balgay Court","11",
"Balgay Court","12",
"Balgay Court","13",
"Balgay Court","14",
"Balgay Court","15",
"Balgay Court","16",
"Balgay Court","17",
"Balgay Court","18",
"Balgay Court","2",
"Balgay Court","3",
"Balgay Court","4",
"Balgay Court","5",
"Balgay Court","6",
"Balgay Court","7",
"Balgay Court","8",
"Balgay Court","9",
"Beauleigh","1 & 49",
"Beauleigh","10 & 37",
"Beauleigh","11 & 31",
"Beauleigh","12 & 47",
"Beauleigh","13 & 38",
"Beauleigh","14",
"Beauleigh","15 & 34",
"Beauleigh","16",
"Beauleigh","17 & 39",
"Beauleigh","18",
"Beauleigh","19",
"Beauleigh","2 & 48",
"Beauleigh","20 & 43",
"Beauleigh","21 & 36",
"Beauleigh","22 & 32",
"Beauleigh","23 & 35",
"Beauleigh","24",
"Beauleigh","25",
"Beauleigh","26",
"Beauleigh","27 & 46",
"Beauleigh","28 & 44",
"Beauleigh","29",
"Beauleigh","3 & 42",
"Beauleigh","30 & 41",
"Beauleigh","4",
"Beauleigh","5 & 45",
"Beauleigh","6",
"Beauleigh","7 & 40",
"Beauleigh","8",
"Beauleigh","9 & 33",
"Beaurette","1",
"Beaurette","10",
"Beaurette","12",
"Beaurette","2",
"Beaurette","3",
"Beaurette","4",
"Beaurette","5",
"Beaurette","6 & 11",
"Beaurette","7",
"Beaurette","8",
"Beaurette","9",
"Belmain Court","1",
"Belmain Court","2",
"Belmain Court","3",
"Belmain Court","4",
"Bergendal","1 & 29",
"Bergendal","10 & 30 & 42",
"Bergendal","11 & 24 & 38",
"Bergendal","12 & 18 & 41",
"Bergendal","13 & 19 & 39",
"Bergendal","14 & 15 & 21",
"Bergendal","16 & 27",
"Bergendal","2 & 26 & 34",
"Bergendal","3 & 17 & 32",
"Bergendal","35",
"Bergendal","4 & 20 & 36",
"Bergendal","5 & 28",
"Bergendal","6 & 23 & 33",
"Bergendal","7 & 25 & 37",
"Bergendal","8 & 31 & 40",
"Bergendal","9 & 22 & 43",
"Bexham","1 & 5",
"Bexham","2 & 7 & 10",
"Bexham","3 & 6 & 9",
"Bexham","4 & 8",
"Bickley Court","1 & 12",
"Bickley Court","2 & 13",
"Bickley Court","3",
"Bickley Court","4 & 11",
"Bickley Court","5",
"Bickley Court","6 & 9",
"Bickley Court","7 & 14 & 15",
"Bickley Court","8 & 10",
"Brackley Court","1 & 58",
"Brackley Court","10 & 26 & 27",
"Brackley Court","11 & 23",
"Brackley Court","12 & 31",
"Brackley Court","13 & 35 & 52",
"Brackley Court","14 & 34",
"Brackley Court","15 & 47 & 56",
"Brackley Court","16 & 42 & 61",
"Brackley Court","17 & 30",
"Brackley Court","18 & 36 & 40",
"Brackley Court","19 & 43 & 57",
"Brackley Court","2 & 53 & 54",
"Brackley Court","20 & 49 & 55",
"Brackley Court","21 & 33 & 38",
"Brackley Court","22 & 32 & 41",
"Brackley Court","3 & 50",
"Brackley Court","39 & 44 & 45",
"Brackley Court","4 & 28 & 48",
"Brackley Court","5 & 51 & 59",
"Brackley Court","6 & 60",
"Brackley Court","7 & 25",
"Brackley Court","8 & 29 & 37",
"Brackley Court","9 & 24",
"Brentwood","1",
"Brentwood","1 & 18",
"Brentwood","11",
"Brentwood","15",
"Brentwood","17",
"Brentwood","18",
"Brentwood","2 & 19",
